[BLA-frf] loaded frf_init_ss.npz, nx=8
[BLA-frf] max|eig| = 1.000000, closest pole to z=1: 0.000e+00
[BLA-frf] |eig| = [1.       1.       0.999889 0.999889 0.99569  0.99569  0.937483 0.937483]
[BLA-frf] applied, zero_nonlinear=True
Model already initilized (init_model_done=True), skipping initilizing of the model, the norm and the creation of the optimizer
Size of the training array =  87.7 MB
N_training_samples = 9184, batch_size = 256, N_batch_updates_per_epoch = 35
Initial Validation sim-RMS= 0.21754673300598
Starting indefinite training until 12600.0 seconds have passed due to provided timeout
########## New lowest validation loss achieved ########### sim-RMS = 0.03300693120613163
It 5775, sqrt loss   0.059, Val sim-RMS 0.03301, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5810, sqrt loss 0.05751, Val sim-RMS 0.05421, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5845, sqrt loss 0.06371, Val sim-RMS 0.07589, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5880, sqrt loss 0.06573, Val sim-RMS 0.0417, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5915, sqrt loss 0.07399, Val sim-RMS 0.2917, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5950, sqrt loss 0.05478, Val sim-RMS 0.03529, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5985, sqrt loss 0.06356, Val sim-RMS 0.05466, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 6020, sqrt loss 0.05997, Val sim-RMS 0.2372, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 6055, sqrt loss 0.05622, Val sim-RMS 0.05621, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 6090, sqrt loss 0.06044, Val sim-RMS 0.04887, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 6125, sqrt loss   0.051, Val sim-RMS 0.04236, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 6160, sqrt loss  0.0534, Val sim-RMS 0.03745, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 6195, sqrt loss  0.0727, Val sim-RMS 0.07755, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
